Species,Culmen Length (mm),Body Mass (g)
Adelie Penguin (Pygoscelis adeliae),39.1,3.75
Adelie Penguin (Pygoscelis adeliae),39.5,3.8
Adelie Penguin (Pygoscelis adeliae),40.3,3.25
Adelie Penguin (Pygoscelis adeliae),36.7,3.45
Adelie Penguin (Pygoscelis adeliae),39.3,3.65
Adelie Penguin (Pygoscelis adeliae),38.9,3.625
Adelie Penguin (Pygoscelis adeliae),39.2,4.675
Adelie Penguin (Pygoscelis adeliae),34.1,3.475
Adelie Penguin (Pygoscelis adeliae),42.0,4.25
Adelie Penguin (Pygoscelis adeliae),37.8,3.3
Adelie Penguin (Pygoscelis adeliae),37.8,3.7
Adelie Penguin (Pygoscelis adeliae),41.1,3.2
Adelie Penguin (Pygoscelis adeliae),38.6,3.8
Adelie Penguin (Pygoscelis adeliae),34.6,4.4
Adelie Penguin (Pygoscelis adeliae),36.6,3.7
Adelie Penguin (Pygoscelis adeliae),38.7,3.45
Adelie Penguin (Pygoscelis adeliae),42.5,4.5
Adelie Penguin (Pygoscelis adeliae),34.4,3.325
Adelie Penguin (Pygoscelis adeliae),46.0,4.2
Adelie Penguin (Pygoscelis adeliae),37.8,3.4
Adelie Penguin (Pygoscelis adeliae),37.7,3.6
Adelie Penguin (Pygoscelis adeliae),35.9,3.8
Adelie Penguin (Pygoscelis adeliae),38.2,3.95
Adelie Penguin (Pygoscelis adeliae),38.8,3.8
Adelie Penguin (Pygoscelis adeliae),35.3,3.8
Adelie Penguin (Pygoscelis adeliae),40.6,3.55
Adelie Penguin (Pygoscelis adeliae),40.5,3.2
Adelie Penguin (Pygoscelis adeliae),37.9,3.15
Adelie Penguin (Pygoscelis adeliae),40.5,3.95
Adelie Penguin (Pygoscelis adeliae),39.5,3.25
Adelie Penguin (Pygoscelis adeliae),37.2,3.9
Adelie Penguin (Pygoscelis adeliae),39.5,3.3
Adelie Penguin (Pygoscelis adeliae),40.9,3.9
Adelie Penguin (Pygoscelis adeliae),36.4,3.325
Adelie Penguin (Pygoscelis adeliae),39.2,4.15
Adelie Penguin (Pygoscelis adeliae),38.8,3.95
Adelie Penguin (Pygoscelis adeliae),42.2,3.55
Adelie Penguin (Pygoscelis adeliae),37.6,3.3
Adelie Penguin (Pygoscelis adeliae),39.8,4.65
Adelie Penguin (Pygoscelis adeliae),36.5,3.15
Adelie Penguin (Pygoscelis adeliae),40.8,3.9
Adelie Penguin (Pygoscelis adeliae),36.0,3.1
Adelie Penguin (Pygoscelis adeliae),44.1,4.4
Adelie Penguin (Pygoscelis adeliae),37.0,3.0
Adelie Penguin (Pygoscelis adeliae),39.6,4.6
Adelie Penguin (Pygoscelis adeliae),41.1,3.425
Adelie Penguin (Pygoscelis adeliae),37.5,2.975
