x1,x2,label
379.0,810.0,1.0
465.0,639.0,1.0
427.0,648.0,1.0
137.0,589.0,1.0
229.0,270.0,1.0
534.0,697.0,1.0
135.0,357.0,1.0
135.0,358.0,1.0
381.0,755.0,1.0
107.0,81.0,1.0
173.0,387.0,1.0
168.0,1107.0,1.0
458.0,1046.0,1.0
350.0,483.0,1.0
187.0,1123.0,1.0
114.0,173.0,1.0
489.0,234.0,1.0
422.0,520.0,1.0
418.0,993.0,1.0
136.0,333.0,1.0
393.0,238.0,1.0
225.0,1136.0,1.0
396.0,919.0,1.0
539.0,794.0,1.0
375.0,834.0,1.0
288.0,1149.0,1.0
230.0,835.0,1.0
140.0,82.0,1.0
305.0,147.0,1.0
214.0,1030.0,1.0
247.0,926.0,1.0
169.0,384.0,1.0
456.0,536.0,1.0
266.0,899.0,1.0
396.0,237.0,1.0
472.0,834.0,1.0
120.0,286.0,1.0
98.0,1018.0,1.0
309.0,443.0,1.0
326.0,80.0,1.0
406.0,950.0,1.0
418.0,984.0,1.0
215.0,1132.0,1.0
520.0,823.0,1.0
366.0,48.0,1.0
483.0,843.0,1.0
140.0,347.0,1.0
270.0,1146.0,1.0
379.0,869.0,1.0
466.0,56.0,1.0
390.0,889.0,1.0
377.0,787.0,1.0
486.0,639.0,1.0
155.0,157.0,1.0
160.0,867.0,1.0
128.0,811.0,1.0
146.0,132.0,1.0
499.0,217.0,1.0
438.0,649.0,1.0
443.0,530.0,1.0
478.0,71.0,1.0
260.0,501.0,1.0
499.0,121.0,1.0
142.0,267.0,1.0
535.0,699.0,1.0
176.0,809.0,1.0
114.0,253.0,1.0
198.0,824.0,1.0
243.0,932.0,1.0
85.0,259.0,1.0
516.0,669.0,1.0
448.0,640.0,1.0
354.0,349.0,1.0
330.0,1103.0,1.0
326.0,1125.0,1.0
504.0,206.0,1.0
418.0,35.0,1.0
183.0,81.0,1.0
429.0,999.0,1.0
448.0,406.0,1.0
260.0,874.0,1.0
266.0,546.0,1.0
162.0,559.0,1.0
434.0,830.0,1.0
216.0,563.0,1.0
325.0,90.0,1.0
351.0,480.0,1.0
490.0,845.0,1.0
109.0,80.0,1.0
531.0,492.0,1.0
309.0,444.0,1.0
476.0,1046.0,1.0
422.0,993.0,1.0
100.0,928.0,1.0
502.0,654.0,1.0
203.0,444.0,1.0
481.0,843.0,1.0
127.0,270.0,1.0
484.0,72.0,1.0
392.0,934.0,1.0
176.0,480.0,1.0
344.0,56.0,1.0
246.0,564.0,1.0
204.0,365.0,1.0
170.0,816.0,1.0
341.0,329.0,1.0
93.0,962.0,1.0
240.0,1028.0,1.0
193.0,1014.0,1.0
443.0,1053.0,1.0
310.0,428.0,1.0
175.0,901.0,1.0
123.0,190.0,1.0
359.0,358.0,1.0
105.0,490.0,1.0
224.0,563.0,1.0
266.0,511.0,1.0
437.0,1005.0,1.0
329.0,1103.0,1.0
469.0,410.0,1.0
134.0,526.0,1.0
406.0,955.0,1.0
147.0,370.0,1.0
491.0,98.0,1.0
377.0,735.0,1.0
386.0,901.0,1.0
376.0,792.0,1.0
458.0,535.0,1.0
373.0,799.0,1.0
418.0,482.0,1.0
489.0,528.0,1.0
387.0,876.0,1.0
329.0,1108.0,1.0
482.0,514.0,1.0
102.0,170.0,1.0
218.0,1003.0,1.0
310.0,200.0,1.0
304.0,143.0,1.0
320.0,83.0,1.0
335.0,314.0,1.0
107.0,168.0,1.0
345.0,481.0,1.0
81.0,553.0,1.0
82.0,237.0,1.0
159.0,863.0,1.0
528.0,682.0,1.0
396.0,930.0,1.0
334.0,70.0,1.0
533.0,512.0,1.0
105.0,188.0,1.0
142.0,807.0,1.0
197.0,449.0,1.0
117.0,277.0,1.0
148.0,376.0,1.0
145.0,820.0,1.0
109.0,496.0,1.0
374.0,383.0,1.0
155.0,818.0,1.0
92.0,222.0,1.0
173.0,198.0,1.0
473.0,411.0,1.0
459.0,533.0,1.0
132.0,284.0,1.0
219.0,1040.0,1.0
188.0,452.0,1.0
397.0,673.0,1.0
114.0,228.0,1.0
532.0,706.0,1.0
271.0,514.0,1.0
509.0,189.0,1.0
496.0,234.0,1.0
90.0,545.0,1.0
129.0,317.0,1.0
193.0,375.0,1.0
381.0,808.0,1.0
212.0,256.0,1.0
163.0,187.0,1.0
504.0,116.0,1.0
344.0,64.0,1.0
189.0,297.0,1.0
96.0,1011.0,1.0
534.0,700.0,1.0
97.0,963.0,1.0
493.0,92.0,1.0
149.0,83.0,1.0
486.0,983.0,1.0
219.0,446.0,1.0
433.0,1052.0,1.0
386.0,889.0,1.0
482.0,248.0,1.0
188.0,557.0,1.0
262.0,917.0,1.0
299.0,380.0,1.0
439.0,35.0,1.0
122.0,304.0,1.0
166.0,383.0,1.0
489.0,527.0,1.0
222.0,1031.0,1.0
329.0,1104.0,1.0
151.0,553.0,1.0
348.0,349.0,1.0
101.0,83.0,1.0
96.0,166.0,1.0
146.0,495.0,1.0
430.0,783.0,1.0
413.0,658.0,1.0
136.0,587.0,1.0
380.0,734.0,1.0
108.0,168.0,1.0
357.0,352.0,1.0
336.0,67.0,1.0
509.0,195.0,1.0
185.0,452.0,1.0
93.0,549.0,1.0
240.0,564.0,1.0
95.0,587.0,1.0
480.0,980.0,1.0
537.0,709.0,1.0
176.0,475.0,1.0
106.0,173.0,1.0
104.0,219.0,1.0
184.0,558.0,1.0
111.0,240.0,1.0
91.0,222.0,1.0
468.0,534.0,1.0
302.0,414.0,1.0
177.0,382.0,1.0
217.0,931.0,1.0
262.0,503.0,1.0
393.0,684.0,1.0
372.0,830.0,1.0
109.0,257.0,1.0
216.0,1038.0,1.0
516.0,660.0,1.0
156.0,834.0,1.0
250.0,855.0,1.0
115.0,709.0,1.0
350.0,354.0,1.0
137.0,817.0,1.0
162.0,789.0,1.0
348.0,58.0,1.0
222.0,266.0,1.0
331.0,293.0,1.0
382.0,228.0,1.0
337.0,317.0,1.0
101.0,785.0,1.0
95.0,1001.0,1.0
377.0,773.0,1.0
157.0,838.0,1.0
193.0,457.0,1.0
171.0,554.0,1.0
445.0,1021.0,1.0
106.0,141.0,1.0
109.0,233.0,1.0
245.0,564.0,1.0
316.0,1133.0,1.0
165.0,178.0,1.0
144.0,357.0,1.0
507.0,208.0,1.0
426.0,1020.0,1.0
418.0,480.0,1.0
439.0,645.0,1.0
355.0,346.0,1.0
307.0,174.0,1.0
387.0,682.0,1.0
203.0,357.0,1.0
331.0,467.0,1.0
146.0,127.0,1.0
234.0,566.0,1.0
92.0,989.0,1.0
444.0,406.0,1.0
120.0,546.0,1.0
193.0,450.0,1.0
109.0,229.0,1.0
302.0,361.0,1.0
261.0,913.0,1.0
166.0,881.0,1.0
116.0,255.0,1.0
374.0,811.0,1.0
80.0,249.0,1.0
138.0,818.0,1.0
304.0,436.0,1.0
310.0,186.0,1.0
143.0,370.0,1.0
321.0,94.0,1.0
377.0,844.0,1.0
320.0,261.0,1.0
315.0,210.0,1.0
323.0,78.0,1.0
163.0,676.0,1.0
385.0,883.0,1.0
117.0,812.0,1.0
166.0,193.0,1.0
303.0,345.0,1.0
379.0,863.0,1.0
406.0,246.0,1.0
117.0,185.0,1.0
97.0,543.0,1.0
151.0,112.0,1.0
93.0,268.0,1.0
173.0,383.0,1.0
536.0,716.0,1.0
352.0,485.0,1.0
257.0,1145.0,1.0
375.0,391.0,1.0
456.0,394.0,1.0
165.0,186.0,1.0
444.0,642.0,1.0
325.0,1112.0,1.0
530.0,819.0,1.0
167.0,897.0,1.0
303.0,347.0,1.0
498.0,229.0,1.0
501.0,648.0,1.0
202.0,321.0,1.0
302.0,327.0,1.0
170.0,195.0,1.0
313.0,131.0,1.0
410.0,965.0,1.0
311.0,127.0,1.0
424.0,490.0,1.0
503.0,113.0,1.0
329.0,304.0,1.0
318.0,105.0,1.0
88.0,577.0,1.0
200.0,305.0,1.0
168.0,1108.0,1.0
147.0,362.0,1.0
537.0,765.0,1.0
412.0,961.0,1.0
134.0,814.0,1.0
325.0,280.0,1.0
133.0,317.0,1.0
382.0,881.0,1.0
414.0,655.0,1.0
134.0,544.0,1.0
172.0,797.0,1.0
497.0,1042.0,1.0
426.0,991.0,1.0
111.0,284.0,1.0
152.0,133.0,1.0
111.0,1038.0,1.0
268.0,529.0,1.0
404.0,949.0,1.0
457.0,533.0,1.0
373.0,835.0,1.0
149.0,106.0,1.0
95.0,269.0,1.0
466.0,53.0,1.0
268.0,1148.0,1.0
121.0,792.0,1.0
308.0,180.0,1.0
352.0,50.0,1.0
144.0,1088.0,1.0
416.0,502.0,1.0
498.0,646.0,1.0
78.0,78.0,1.0
379.0,796.0,1.0
128.0,495.0,1.0
308.0,421.0,1.0
314.0,218.0,1.0
148.0,817.0,1.0
244.0,847.0,1.0
140.0,675.0,1.0
493.0,96.0,1.0
136.0,112.0,1.0
206.0,348.0,1.0
179.0,381.0,1.0
204.0,817.0,1.0
419.0,478.0,1.0
99.0,248.0,1.0
238.0,565.0,1.0
150.0,783.0,1.0
466.0,1047.0,1.0
538.0,711.0,1.0
102.0,165.0,1.0
430.0,1050.0,1.0
438.0,779.0,1.0
179.0,815.0,1.0
433.0,780.0,1.0
391.0,34.0,1.0
108.0,788.0,1.0
215.0,511.0,1.0
137.0,582.0,1.0
332.0,301.0,1.0
138.0,793.0,1.0
533.0,798.0,1.0
137.0,813.0,1.0
234.0,1026.0,1.0
387.0,910.0,1.0
410.0,499.0,1.0
364.0,377.0,1.0
169.0,896.0,1.0
219.0,264.0,1.0
306.0,183.0,1.0
478.0,993.0,1.0
164.0,795.0,1.0
434.0,819.0,1.0
525.0,491.0,1.0
457.0,1048.0,1.0
120.0,192.0,1.0
332.0,296.0,1.0
508.0,171.0,1.0
178.0,205.0,1.0
217.0,1033.0,1.0
491.0,233.0,1.0
507.0,152.0,1.0
148.0,141.0,1.0
545.0,523.0,1.0
375.0,811.0,1.0
482.0,984.0,1.0
501.0,119.0,1.0
398.0,670.0,1.0
123.0,687.0,1.0
497.0,1047.0,1.0
399.0,238.0,1.0
177.0,808.0,1.0
173.0,905.0,1.0
410.0,652.0,1.0
379.0,786.0,1.0
489.0,979.0,1.0
148.0,795.0,1.0
385.0,687.0,1.0
94.0,957.0,1.0
363.0,381.0,1.0
475.0,64.0,1.0
255.0,865.0,1.0
138.0,81.0,1.0
342.0,339.0,1.0
396.0,668.0,1.0
300.0,415.0,1.0
108.0,546.0,1.0
93.0,793.0,1.0
137.0,268.0,1.0
124.0,120.0,1.0
104.0,267.0,1.0
268.0,548.0,1.0
535.0,759.0,1.0
317.0,263.0,1.0
133.0,348.0,1.0
442.0,42.0,1.0
348.0,345.0,1.0
300.0,370.0,1.0
430.0,34.0,1.0
199.0,814.0,1.0
209.0,350.0,1.0
187.0,1119.0,1.0
90.0,241.0,1.0
274.0,1150.0,1.0
122.0,84.0,1.0
160.0,676.0,1.0
89.0,589.0,1.0
243.0,254.0,1.0
418.0,502.0,1.0
241.0,1030.0,1.0
332.0,312.0,1.0
419.0,508.0,1.0
408.0,952.0,1.0
168.0,189.0,1.0
162.0,83.0,1.0
387.0,678.0,1.0
199.0,446.0,1.0
271.0,1148.0,1.0
313.0,135.0,1.0
316.0,242.0,1.0
495.0,1047.0,1.0
232.0,1138.0,1.0
131.0,280.0,1.0
79.0,566.0,1.0
192.0,1122.0,1.0
382.0,395.0,1.0
319.0,1129.0,1.0
189.0,376.0,1.0
413.0,484.0,1.0
204.0,1008.0,1.0
219.0,1001.0,1.0
325.0,1091.0,1.0
333.0,475.0,1.0
433.0,792.0,1.0
224.0,805.0,1.0
97.0,984.0,1.0
323.0,89.0,1.0
301.0,400.0,1.0
175.0,212.0,1.0
89.0,546.0,1.0
119.0,191.0,1.0
322.0,283.0,1.0
120.0,1061.0,1.0
110.0,134.0,1.0
485.0,996.0,1.0
381.0,829.0,1.0
134.0,807.0,1.0
111.0,255.0,1.0
231.0,460.0,1.0
315.0,250.0,1.0
337.0,63.0,1.0
117.0,173.0,1.0
265.0,897.0,1.0
309.0,121.0,1.0
539.0,775.0,1.0
381.0,854.0,1.0
533.0,733.0,1.0
206.0,319.0,1.0
232.0,1140.0,1.0
205.0,814.0,1.0
344.0,344.0,1.0
528.0,806.0,1.0
189.0,448.0,1.0
398.0,674.0,1.0
236.0,464.0,1.0
323.0,287.0,1.0
480.0,838.0,1.0
388.0,920.0,1.0
97.0,994.0,1.0
263.0,904.0,1.0
394.0,233.0,1.0
331.0,290.0,1.0
136.0,336.0,1.0
321.0,269.0,1.0
241.0,1026.0,1.0
138.0,498.0,1.0
89.0,588.0,1.0
429.0,523.0,1.0
145.0,1081.0,1.0
311.0,1141.0,1.0
127.0,760.0,1.0
440.0,819.0,1.0
244.0,470.0,1.0
507.0,132.0,1.0
495.0,516.0,1.0
444.0,789.0,1.0
467.0,827.0,1.0
96.0,589.0,1.0
105.0,1025.0,1.0
378.0,742.0,1.0
157.0,148.0,1.0
364.0,369.0,1.0
152.0,130.0,1.0
400.0,940.0,1.0
227.0,1033.0,1.0
437.0,643.0,1.0
463.0,818.0,1.0
343.0,316.0,1.0
503.0,211.0,1.0
230.0,459.0,1.0
162.0,168.0,1.0
418.0,493.0,1.0
314.0,438.0,1.0
146.0,366.0,1.0
525.0,1045.0,1.0
535.0,525.0,1.0
375.0,750.0,1.0
346.0,56.0,1.0
94.0,1002.0,1.0
427.0,475.0,1.0
238.0,567.0,1.0
321.0,276.0,1.0
176.0,489.0,1.0
232.0,269.0,1.0
401.0,934.0,1.0
146.0,370.0,1.0
124.0,84.0,1.0
263.0,887.0,1.0
151.0,839.0,1.0
493.0,647.0,1.0
490.0,990.0,1.0
477.0,531.0,1.0
382.0,694.0,1.0
111.0,80.0,1.0
122.0,124.0,1.0
406.0,952.0,1.0
436.0,833.0,1.0
125.0,290.0,1.0
375.0,825.0,1.0
474.0,835.0,1.0
200.0,820.0,1.0
305.0,1140.0,1.0
116.0,544.0,1.0
388.0,401.0,1.0
130.0,309.0,1.0
306.0,173.0,1.0
464.0,255.0,1.0
418.0,981.0,1.0
154.0,159.0,1.0
318.0,257.0,1.0
176.0,1116.0,1.0
217.0,824.0,1.0
97.0,956.0,1.0
256.0,921.0,1.0
272.0,518.0,1.0
92.0,983.0,1.0
400.0,36.0,1.0
178.0,502.0,1.0
100.0,271.0,1.0
416.0,500.0,1.0
121.0,693.0,1.0
134.0,567.0,1.0
392.0,496.0,1.0
453.0,399.0,1.0
181.0,477.0,1.0
99.0,1017.0,1.0
508.0,186.0,1.0
171.0,802.0,1.0
384.0,406.0,1.0
377.0,46.0,1.0
304.0,154.0,1.0
480.0,986.0,1.0
297.0,354.0,1.0
306.0,182.0,1.0
501.0,525.0,1.0
539.0,492.0,1.0
387.0,917.0,1.0
150.0,818.0,1.0
205.0,351.0,1.0
430.0,1018.0,1.0
500.0,843.0,1.0
